FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,6123.547647058824,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0003,-80.577366,28.5618571,0
2,525.0,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0005,-80.577366,28.5618571,0
3,677.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B0007,-80.577366,28.5618571,0
4,500.0,PO,VAFB SLC 4E,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093,0
5,3170.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1004,-80.577366,28.5618571,0
6,3325.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1005,-80.577366,28.5618571,0
7,2296.0,ISS,CCSFS SLC 40,1,False,False,True,,1.0,0,B1006,-80.577366,28.5618571,1
8,1316.0,LEO,CCSFS SLC 40,1,False,False,True,,1.0,0,B1007,-80.577366,28.5618571,1
9,4535.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1008,-80.577366,28.5618571,0
10,4428.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1011,-80.577366,28.5618571,0
11,2216.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B1010,-80.577366,28.5618571,0
12,2395.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012,-80.577366,28.5618571,0
13,570.0,ES-L1,CCSFS SLC 40,1,True,False,True,,1.0,0,B1013,-80.577366,28.5618571,1
14,1898.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015,-80.577366,28.5618571,0
15,4707.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1016,-80.577366,28.5618571,0
16,2477.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018,-80.577366,28.5618571,0
17,2034.0,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019,-80.577366,28.5618571,1
18,553.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017,-120.610829,34.632093,0
19,5271.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020,-80.577366,28.5618571,0
20,3136.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.577366,28.5618571,1
21,4696.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022,-80.577366,28.5618571,1
22,3100.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1023,-80.577366,28.5618571,1
23,2257.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,B1025,-80.577366,28.5618571,1
24,4600.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1026,-80.577366,28.5618571,1
25,5500.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0,B1028,-80.577366,28.5618571,0
26,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1029,-120.610829,34.632093,1
27,2490.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1031,-80.6039558,28.6080585,1
28,5600.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1030,-80.6039558,28.6080585,0
29,5300.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.6039558,28.6080585,1
30,6123.547647058824,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1032,-80.6039558,28.6080585,1
31,6070.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1034,-80.6039558,28.6080585,0
32,2708.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035,-80.6039558,28.6080585,1
33,3669.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1029,-80.6039558,28.6080585,1
34,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1036,-120.610829,34.632093,1
35,6761.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1037,-80.6039558,28.6080585,0
36,2910.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1039,-80.6039558,28.6080585,1
37,475.0,SSO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7c9,5.0,1,B1038,-120.610829,34.632093,1
38,4990.0,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1040,-80.6039558,28.6080585,1
39,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1,B1041,-120.610829,34.632093,1
40,5200.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1031,-80.6039558,28.6080585,1
41,3700.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0,B1042,-80.6039558,28.6080585,1
42,2205.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035,-80.577366,28.5618571,1
43,9600.0,PO,VAFB SLC 4E,2,True,True,False,,3.0,1,B1036,-120.610829,34.632093,1
44,6123.547647058824,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1043,-80.577366,28.5618571,1
45,4230.0,GTO,CCSFS SLC 40,2,True,True,True,,3.0,1,B1032,-80.577366,28.5618571,1
46,6092.0,GTO,CCSFS SLC 40,1,True,False,True,,4.0,0,B1044,-80.577366,28.5618571,0
47,9600.0,PO,VAFB SLC 4E,2,True,True,True,,4.0,1,B1041,-120.610829,34.632093,0
48,2760.0,ISS,CCSFS SLC 40,2,True,True,True,,4.0,1,B1039,-80.577366,28.5618571,0
49,350.0,HEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1,B1045,-80.577366,28.5618571,1
50,3750.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046,-80.6039558,28.6080585,1
51,5383.85,GTO,CCSFS SLC 40,2,False,True,False,,4.0,1,B1040,-80.577366,28.5618571,0
52,2410.0,ISS,CCSFS SLC 40,2,False,True,False,,4.0,1,B1045,-80.577366,28.5618571,0
53,7076.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047,-80.577366,28.5618571,1
54,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4,B1048,-120.610829,34.632093,1
55,5800.0,GTO,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046,-80.577366,28.5618571,1
56,7060.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,1
57,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecbb554034e7c9,5.0,4,B1048,-120.610829,34.632093,1
58,3000.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047,-80.6039558,28.6080585,1
59,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3,B1046,-120.610829,34.632093,1
60,2573.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050,-80.577366,28.5618571,0
61,4400.0,MEO,CCSFS SLC 40,1,False,False,False,,5.0,0,B1054,-80.577366,28.5618571,0
62,9600.0,PO,VAFB SLC 4E,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049,-120.610829,34.632093,1
63,12259.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,1
64,2482.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,1
65,13200.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,1
66,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,12,B1051,-120.610829,34.632093,1
67,2227.7,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1056,-80.577366,28.5618571,1
68,6500.0,GTO,CCSFS SLC 40,3,False,True,False,,5.0,2,B1047,-80.577366,28.5618571,0
69,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048,-80.577366,28.5618571,1
70,5000.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059,-80.577366,28.5618571,1
71,6800.0,GTO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,1
72,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,1
73,6123.547647058824,SO,KSC LC 39A,4,False,True,False,,5.0,3,B1046,-80.6039558,28.6080585,0
74,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.577366,28.5618571,1
75,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,0
76,1977.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.577366,28.5618571,1
77,15600.0,VLEO,KSC LC 39A,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048,-80.6039558,28.6080585,0
78,15600.0,VLEO,KSC LC 39A,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,1
79,9525.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1058,-80.6039558,28.6080585,1
80,15600.0,VLEO,CCSFS SLC 40,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049,-80.577366,28.5618571,1
81,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.577366,28.5618571,1
82,3880.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,1
83,6123.547647058824,GEO,CCSFS SLC 40,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1058,-80.577366,28.5618571,1
84,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,1
85,1600.0,SSO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.577366,28.5618571,1
86,15600.0,VLEO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060,-80.6039558,28.6080585,1
87,15600.0,VLEO,KSC LC 39A,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1058,-80.6039558,28.6080585,1
88,15600.0,VLEO,KSC LC 39A,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,1
89,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,1
90,3681.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1062,-80.577366,28.5618571,1
