FlightNumber,LaunchSite,class,PayloadMass,BoosterVersion,Booster Version Category
1,CCSFS SLC 40,0,6123.547647058824,Falcon 9,Other
2,CCSFS SLC 40,0,525.0,Falcon 9,Other
3,CCSFS SLC 40,0,677.0,Falcon 9,Other
4,VAFB SLC 4E,0,500.0,Falcon 9,Other
5,CCSFS SLC 40,0,3170.0,Falcon 9,Other
6,CCSFS SLC 40,0,3325.0,Falcon 9,Other
7,CCSFS SLC 40,1,2296.0,Falcon 9,Other
8,CCSFS SLC 40,1,1316.0,Falcon 9,Other
9,CCSFS SLC 40,0,4535.0,Falcon 9,Other
10,CCSFS SLC 40,0,4428.0,Falcon 9,Other
11,CCSFS SLC 40,0,2216.0,Falcon 9,Other
12,CCSFS SLC 40,0,2395.0,Falcon 9,Other
13,CCSFS SLC 40,1,570.0,Falcon 9,Other
14,CCSFS SLC 40,0,1898.0,Falcon 9,Other
15,CCSFS SLC 40,0,4707.0,Falcon 9,Other
16,CCSFS SLC 40,0,2477.0,Falcon 9,Other
17,CCSFS SLC 40,1,2034.0,Falcon 9,Other
18,VAFB SLC 4E,0,553.0,Falcon 9,Other
19,CCSFS SLC 40,0,5271.0,Falcon 9,Other
20,CCSFS SLC 40,1,3136.0,Falcon 9,Other
21,CCSFS SLC 40,1,4696.0,Falcon 9,Other
22,CCSFS SLC 40,1,3100.0,Falcon 9,Other
23,CCSFS SLC 40,1,2257.0,Falcon 9,Other
24,CCSFS SLC 40,1,4600.0,Falcon 9,Other
25,CCSFS SLC 40,0,5500.0,Falcon 9,Other
26,VAFB SLC 4E,1,9600.0,Falcon 9,Other
27,KSC LC 39A,1,2490.0,Falcon 9,Other
28,KSC LC 39A,0,5600.0,Falcon 9,Other
29,KSC LC 39A,1,5300.0,Falcon 9,Other
30,KSC LC 39A,1,6123.547647058824,Falcon 9,Other
31,KSC LC 39A,0,6070.0,Falcon 9,Other
32,KSC LC 39A,1,2708.0,Falcon 9,Other
33,KSC LC 39A,1,3669.0,Falcon 9,Other
34,VAFB SLC 4E,1,9600.0,Falcon 9,Other
35,KSC LC 39A,0,6761.0,Falcon 9,Other
36,KSC LC 39A,1,2910.0,Falcon 9,Other
37,VAFB SLC 4E,1,475.0,Falcon 9,Other
38,KSC LC 39A,1,4990.0,Falcon 9,Other
39,VAFB SLC 4E,1,9600.0,Falcon 9,Other
40,KSC LC 39A,1,5200.0,Falcon 9,Other
41,KSC LC 39A,1,3700.0,Falcon 9,Other
42,CCSFS SLC 40,1,2205.0,Falcon 9,Other
43,VAFB SLC 4E,1,9600.0,Falcon 9,Other
44,CCSFS SLC 40,1,6123.547647058824,Falcon 9,Other
45,CCSFS SLC 40,1,4230.0,Falcon 9,Other
46,CCSFS SLC 40,0,6092.0,Falcon 9,Other
47,VAFB SLC 4E,0,9600.0,Falcon 9,Other
48,CCSFS SLC 40,0,2760.0,Falcon 9,Other
49,CCSFS SLC 40,1,350.0,Falcon 9,Other
50,KSC LC 39A,1,3750.0,Falcon 9,Other
51,CCSFS SLC 40,0,5383.85,Falcon 9,Other
52,CCSFS SLC 40,0,2410.0,Falcon 9,Other
53,CCSFS SLC 40,1,7076.0,Falcon 9,Other
54,VAFB SLC 4E,1,9600.0,Falcon 9,Other
55,CCSFS SLC 40,1,5800.0,Falcon 9,Other
56,CCSFS SLC 40,1,7060.0,Falcon 9,Other
57,VAFB SLC 4E,1,2800.0,Falcon 9,Other
58,KSC LC 39A,1,3000.0,Falcon 9,Other
59,VAFB SLC 4E,1,4000.0,Falcon 9,Other
60,CCSFS SLC 40,0,2573.0,Falcon 9,Other
61,CCSFS SLC 40,0,4400.0,Falcon 9,Other
62,VAFB SLC 4E,1,9600.0,Falcon 9,Other
63,KSC LC 39A,1,12259.0,Falcon 9,Other
64,CCSFS SLC 40,1,2482.0,Falcon 9,Other
65,CCSFS SLC 40,1,13200.0,Falcon 9,Other
66,VAFB SLC 4E,1,1425.0,Falcon 9,Other
67,CCSFS SLC 40,1,2227.7,Falcon 9,Other
68,CCSFS SLC 40,0,6500.0,Falcon 9,Other
69,CCSFS SLC 40,1,15600.0,Falcon 9,Other
70,CCSFS SLC 40,1,5000.0,Falcon 9,Other
71,CCSFS SLC 40,1,6800.0,Falcon 9,Other
72,CCSFS SLC 40,1,15600.0,Falcon 9,Other
73,KSC LC 39A,0,6123.547647058824,Falcon 9,Other
74,CCSFS SLC 40,1,15600.0,Falcon 9,Other
75,CCSFS SLC 40,0,15600.0,Falcon 9,Other
76,CCSFS SLC 40,1,1977.0,Falcon 9,Other
77,KSC LC 39A,0,15600.0,Falcon 9,Other
78,KSC LC 39A,1,15600.0,Falcon 9,Other
79,KSC LC 39A,1,9525.0,Falcon 9,Other
80,CCSFS SLC 40,1,15600.0,Falcon 9,Other
81,CCSFS SLC 40,1,15600.0,Falcon 9,Other
82,CCSFS SLC 40,1,3880.0,Falcon 9,Other
83,CCSFS SLC 40,1,6123.547647058824,Falcon 9,Other
84,CCSFS SLC 40,1,15600.0,Falcon 9,Other
85,CCSFS SLC 40,1,1600.0,Falcon 9,Other
86,KSC LC 39A,1,15600.0,Falcon 9,Other
87,KSC LC 39A,1,15600.0,Falcon 9,Other
88,KSC LC 39A,1,15600.0,Falcon 9,Other
89,CCSFS SLC 40,1,15600.0,Falcon 9,Other
90,CCSFS SLC 40,1,3681.0,Falcon 9,Other
