FlightNumber,LaunchSite,Class,Longitude,Latitude
1,CCAFS SLC 40,0,-80.577366,28.5618571
2,CCAFS SLC 40,0,-80.577366,28.5618571
3,CCAFS SLC 40,0,-80.577366,28.5618571
4,VAFB SLC 4E,0,-120.610829,34.632093
5,CCAFS SLC 40,0,-80.577366,28.5618571
6,CCAFS SLC 40,0,-80.577366,28.5618571
7,CCAFS SLC 40,1,-80.577366,28.5618571
8,CCAFS SLC 40,1,-80.577366,28.5618571
9,CCAFS SLC 40,0,-80.577366,28.5618571
10,CCAFS SLC 40,0,-80.577366,28.5618571
11,CCAFS SLC 40,0,-80.577366,28.5618571
12,CCAFS SLC 40,0,-80.577366,28.5618571
13,CCAFS SLC 40,1,-80.577366,28.5618571
14,CCAFS SLC 40,0,-80.577366,28.5618571
15,CCAFS SLC 40,0,-80.577366,28.5618571
16,CCAFS SLC 40,0,-80.577366,28.5618571
17,CCAFS SLC 40,1,-80.577366,28.5618571
18,VAFB SLC 4E,0,-120.610829,34.632093
19,CCAFS SLC 40,0,-80.577366,28.5618571
20,CCAFS SLC 40,1,-80.577366,28.5618571
21,CCAFS SLC 40,1,-80.577366,28.5618571
22,CCAFS SLC 40,1,-80.577366,28.5618571
23,CCAFS SLC 40,1,-80.577366,28.5618571
24,CCAFS SLC 40,1,-80.577366,28.5618571
25,CCAFS SLC 40,0,-80.577366,28.5618571
26,VAFB SLC 4E,1,-120.610829,34.632093
27,KSC LC 39A,1,-80.6039558,28.6080585
28,KSC LC 39A,0,-80.6039558,28.6080585
29,KSC LC 39A,1,-80.6039558,28.6080585
30,KSC LC 39A,1,-80.6039558,28.6080585
31,KSC LC 39A,0,-80.6039558,28.6080585
32,KSC LC 39A,1,-80.6039558,28.6080585
33,KSC LC 39A,1,-80.6039558,28.6080585
34,VAFB SLC 4E,1,-120.610829,34.632093
35,KSC LC 39A,0,-80.6039558,28.6080585
36,KSC LC 39A,1,-80.6039558,28.6080585
37,VAFB SLC 4E,1,-120.610829,34.632093
38,KSC LC 39A,1,-80.6039558,28.6080585
39,VAFB SLC 4E,1,-120.610829,34.632093
40,KSC LC 39A,1,-80.6039558,28.6080585
41,KSC LC 39A,1,-80.6039558,28.6080585
42,CCAFS SLC 40,1,-80.577366,28.5618571
43,VAFB SLC 4E,1,-120.610829,34.632093
44,CCAFS SLC 40,1,-80.577366,28.5618571
45,CCAFS SLC 40,1,-80.577366,28.5618571
46,CCAFS SLC 40,0,-80.577366,28.5618571
47,VAFB SLC 4E,0,-120.610829,34.632093
48,CCAFS SLC 40,0,-80.577366,28.5618571
49,CCAFS SLC 40,1,-80.577366,28.5618571
50,KSC LC 39A,1,-80.6039558,28.6080585
51,CCAFS SLC 40,0,-80.577366,28.5618571
52,CCAFS SLC 40,0,-80.577366,28.5618571
53,CCAFS SLC 40,1,-80.577366,28.5618571
54,VAFB SLC 4E,1,-120.610829,34.632093
55,CCAFS SLC 40,1,-80.577366,28.5618571
56,CCAFS SLC 40,1,-80.577366,28.5618571
57,VAFB SLC 4E,1,-120.610829,34.632093
58,KSC LC 39A,1,-80.6039558,28.6080585
59,VAFB SLC 4E,1,-120.610829,34.632093
60,CCAFS SLC 40,0,-80.577366,28.5618571
61,CCAFS SLC 40,0,-80.577366,28.5618571
62,VAFB SLC 4E,1,-120.610829,34.632093
63,KSC LC 39A,1,-80.6039558,28.6080585
64,CCAFS SLC 40,1,-80.577366,28.5618571
65,CCAFS SLC 40,1,-80.577366,28.5618571
66,VAFB SLC 4E,1,-120.610829,34.632093
67,CCAFS SLC 40,1,-80.577366,28.5618571
68,CCAFS SLC 40,0,-80.577366,28.5618571
69,CCAFS SLC 40,1,-80.577366,28.5618571
70,CCAFS SLC 40,1,-80.577366,28.5618571
71,CCAFS SLC 40,1,-80.577366,28.5618571
72,CCAFS SLC 40,1,-80.577366,28.5618571
73,KSC LC 39A,0,-80.6039558,28.6080585
74,CCAFS SLC 40,1,-80.577366,28.5618571
75,CCAFS SLC 40,0,-80.577366,28.5618571
76,CCAFS SLC 40,1,-80.577366,28.5618571
77,KSC LC 39A,0,-80.6039558,28.6080585
78,KSC LC 39A,1,-80.6039558,28.6080585
79,KSC LC 39A,1,-80.6039558,28.6080585
80,CCAFS SLC 40,1,-80.577366,28.5618571
81,CCAFS SLC 40,1,-80.577366,28.5618571
82,CCAFS SLC 40,1,-80.577366,28.5618571
83,CCAFS SLC 40,1,-80.577366,28.5618571
84,CCAFS SLC 40,1,-80.577366,28.5618571
85,CCAFS SLC 40,1,-80.577366,28.5618571
86,KSC LC 39A,1,-80.6039558,28.6080585
87,KSC LC 39A,1,-80.6039558,28.6080585
88,KSC LC 39A,1,-80.6039558,28.6080585
89,CCAFS SLC 40,1,-80.577366,28.5618571
90,CCAFS SLC 40,1,-80.577366,28.5618571
